name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
hai karate,rum - daiquiris,2 oz,dark rum,1 oz,fresh lime juice,1 oz,pineapple juice,1 oz,orange juice,1 oz,maple syrup,1 oz,angostura bitters,shake with ice and strain into ice-filled collins glass. garnish with cherry/orange flag.,collins glass,14 to 16 ounces
cara sposa,brandy,1 oz,coffee-flavored brandy,3/4 oz,triple sec,1/2 oz,half-and-half,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
traditional martini (dry),cocktail classics,1 oz,gin,1 oz,dry vermouth,1 oz,orange bitters,,,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
pina agave,tequila,2 oz,cucumber,1 1/2 oz,blanco tequila,1 oz,pineapple juice,3/4 oz,fresh lemon juice,1/2 oz,agave nectar,,"lemon-lime soda, cucumber slice",muddle 2 cucumber slices in mixing glass. add the next four ingredients. shake with ice and strain into chilled cocktail glass. top with soda and garnish with cucumber slice.,cocktail glass,6 or more ounces
grande guignol,rum - daiquiris,1 1/2 oz,dark rum,3/4 oz,yellow chartreuse,3/4 oz,cherry heering,3/4 oz,fresh lime juice,,lime wheel,,,shake with ice and strain into chilled cocktail glass. garnish with lime.,cocktail glass,6 or more ounces
pancho villa,tequila,1 oz,anejo tequila,3/4 oz,aperol,3/4 oz,sweet vermouth,1 oz,peach bitters,,grapefruit twist,,,stir with ice and strain into chilled cocktail glass. garnish with grapefruit twist.,cocktail glass,6 or more ounces
paloma (natural),tequila,2 oz,blanco tequila,2 oz,fresh white or ruby red grapefruit juice,,soda water,,,,,,,pour tequila and grapefruit juice into ice-filled collins glass. fill with soda water and stir briefly. garnish with lime wedge.,collins glass,14 to 16 ounces
golden friendship,rum - daiquiris,1 oz,light rum,1 oz,sweet vermouth,1 oz,amaretto,,,,"orange zest spiral, maraschino cherry",,,"stir first three ingredients in ice-filled collins glass with ice, then fill with ginger ale. garnish with orange and cherry.",collins glass,14 to 16 ounces
paloma,tequila,2 oz,blanco tequila,,grapefruit-flavored soda,,lime wedge,,,,,,,pour tequila into ice-filled collins glass. fill glass with soda and stir briefly. garnish with lime wedge.,collins glass,14 to 16 ounces
pacific sunshine,tequila,,"lemon wheel, coarse salt",1 1/2 oz,blanco tequila,1 1/2 oz,blue curacao,3/4 oz,simple syrup,3/4 oz,fresh lemon juice,1 oz,angostura bitters,rim chilled hurricane or parfait glass with lemon and salt; reserve lemon. shake remaining ingredients with ice in mixing glass. pour with ice into glass. garnish with reserved lemon wheel.,hurricane glass,14 to 20 ounces
golden eclipse,rum - daiquiris,1 1/2 oz,dark rum,1/4 oz,amaro,1/2 oz,fresh lemon juice,1 oz,orange bitters,3 oz,sparkling apple cider,,golden delicious apple wedge,shake first four ingredients with ice. strain into chilled cocktail glass. top with cider. garnish with apple wedge perched on glass rim.,cocktail glass,6 or more ounces
diplomat cocktail,cocktail classics,1 1/2 oz,dry vermouth,1/2 oz,sweet vermouth,2 oz,bitters,1/2 oz,maraschino,,,,,stir with ice and strain into cocktail glass. serve with a half slice of lemon and a cherry.,cocktail glass,6 or more ounces
oldest temptation,tequila,2 oz,anejo tequila,1 oz,apple juice,1/2 oz,fresh lemon juice,1/2 oz,triple sec,1/4 oz,simple syrup,1 oz,"angostura bitters, flamed lemon twist",shake with ice and strain into chilled cocktail glass. flame lemon twist and add.,cocktail glass,6 or more ounces
ginger grapefruit rickey,rum - daiquiris,2 oz,light rum,2 oz,fresh grapefruit juice,1 oz,ginger liqueur,1/2 oz,fresh lime juice,,soda water,,,shake first four ingredients with ice. strain into ice-filled highball glass and top with soda water.,highball glass,7 to 10 ounces
calvados cocktail,brandy,1 1/2 oz,calvados,1 1/2 oz,orange juice,3/4 oz,triple sec,1 oz,orange bitters,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
daiquiri cocktail,cocktail classics,1 oz,juice of a lime,1 oz,powdered sugar,1 1/2 oz,old mr. boston rum,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
the oaxaca old-fashioned,tequila,1 1/2 oz,reposado tequila,1/2 oz,mezcal,1/4 oz,agave nectar,2 oz,angostura bitters,,"orange twist, flamed",,,stir with ice and strain into chilled old-fashioned glass. flame orange twist and add.,old-fashioned glass,6 to 8 ounces
cuban special cocktail,cocktail classics,1 oz,pineapple juice,1/2 oz,juice of a lime,1 oz,old mr. boston rum,1/2 oz,old mr. boston triple sec,,,,,shake with ice and strain into cocktail glass. decorate with stick of pineapple and a cherry.,cocktail glass,6 or more ounces
gaugin,rum - daiquiris,2 oz,light rum,1/2 oz,fresh lemon juice,1/2 oz,fresh lime juice,1/2 oz,passion fruit syrup,,maraschino cherry,,,combine ingredients with 1 cup crushed ice in blender on low speed. serve in chilled old-fashioned glass. add cherry.,old-fashioned glass,6 to 8 ounces
the nomad south,tequila,2 oz,blanco tequila,1 oz,orange juice,1/2 oz,blood orange juice,1/2 oz,agave nectar,1/2 oz,fresh lime juice,1 oz,whiskey barrel bitters,shake well with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
creole lady cocktail,cocktail classics,1 1/2 oz,old kentucky tavern bourbon whiskey,1 1/2 oz,madeira,1 oz,grenadine,,,,,,,stir with ice and strain into cocktail glass. serve with one green and one red cherry.,cocktail glass,6 or more ounces
no. 8,tequila,2 oz,reposado tequila,3/4 oz,palo cortado or oloroso sherry,1/2 oz,honey liqueur,2 oz,orange bitters,,lemon twist,,,stir with ice and strain into chilled cocktail glass. garnish with lemon twist.,cocktail glass,6 or more ounces
fog cutter,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,brandy,1/2 oz,gin,1 1/2 oz,fresh lemon juice,1 oz,each orange juice and sweet sherry,1 1/2 oz,almond or orgeat syrup,shake first six ingredients with ice and strain into ice-filled collins glass. top with sherry.,collins glass,14 to 16 ounces
mexicola,tequila,2 oz,blanco tequila,1/2 oz,fresh lime juice,cola,,,,,,,,pour tequila and lime juice into ice-filled collins glass. fill with cola and stir.,collins glass,14 to 16 ounces
floridita no. 3,rum - daiquiris,2 oz,light rum,3/4 oz,fresh lime juice,1/2 oz,grapefruit juice,1/2 oz,maraschino liqueur,1/2 oz,simple syrup,,lime wheel,shake with ice and strain into chilled champagne flute. garnish with lime wheel.,champagne flute,6 to 8 ounces
mexican monk,tequila,2 oz,reposado tequila,1/2 oz,dry sherry,1/4 oz,coffee liqueur,1/4 oz,benedictine,,lemon twist,,,stir well with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
floridita no. 1,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,fresh lime juice,1/2 oz,sweet vermouth,1 oz,white creme de cacao,1 oz,grenadine,,lime twist,shake with ice and strain into chilled cocktail glass. add lime twist.,cocktail glass,6 or more ounces
mexican madras,tequila,1 1/2 oz,blanco tequila,2 oz,cranberry juice,1 oz,orange juice,1/4 oz,fresh lime juice,,orange wheel,,,shake with ice and strain into old-fashioned glass. garnish with orange.,old-fashioned glass,6 to 8 ounces
cadiz,brandy,1/4 oz,blackberry-flavored brandy,1/4 oz,dry sherry,1/2 oz,triple sec,1/2 oz,half-and-half,,,,,shake with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
chocolate soldier cocktail,cocktail classics,1/2 oz,juice of a lime,3/4 oz,dubonnet,1 1/2 oz,old mr. boston dry gin,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
fireman's sour,rum - daiquiris,2 oz,light rum,2 oz,fresh lime juice,1/4 oz,simple syrup,1/4 oz,grenadine,,soda water (optional),,"lemon half-wheel, maraschino cherry","shake first four ingredients with ice and strain into chilled old-fashioned glass. fill with soda water, if desired. garnish with lemon and cherry.",old-fashioned glass,6 to 8 ounces
fat like buddha,rum - daiquiris,2 oz,dark rum,3/4 oz,dubonnet rouge,1/4 oz,benedictine,1/4 oz,triple sec,,"orange twist, flamed",,,stir with ice and strain into chilled cocktail glass. flame orange twist and add.,cocktail glass,6 or more ounces
cherry blossom cocktail,cocktail classics,1 1/2 oz,old mr. boston five star brandy,1/2 oz,old mr. boston wild cherry flavored brandy,1 1/2 oz,old mr. boston triple sec,1 1/2 oz,grenadine,2 oz,lemon juice,,,shake with ice and strain into cocktail glass with its rim moistened with cherry liqueur and dipped into powdered sugar. add a maraschino cherry.,cocktail glass,6 or more ounces
fair-and-warmer cocktail,rum - daiquiris,1 1/2 oz,light rum,3/4 oz,sweet vermouth,1/2 oz,triple sec,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
chelsea sidecar cocktail,cocktail classics,1/4 oz,juice of a lemon,3/4 oz,old mr. boston triple sec,3/4 oz,old mr. boston dry gin,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
mexican firing squad,tequila,2 oz,blanco tequila,1 oz,simple syrup,3/4 oz,fresh lime juice,1 oz,pomegranate molasses (available at middle eastern grocers),2 oz,angostura bitters,,lime wheel,shake and strain into ice-filled highball glass. garnish with lime.,highball glass,7 to 10 ounces
mexicana,tequila,1/2 oz,blanco tequila,1 oz,fresh lemon juice,1/2 oz,pineapple juice,1 oz,grenadine,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
el presidente cocktail no. 2,rum - daiquiris,1 1/2 oz,light rum,3/4 oz,dry vermouth,1 oz,angostura bitters,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
margarita tequila,shooters,,"lime wedge, coarse salt",1 1/2 oz,blanco tequila,3/4 oz,cointreau triple sec,3/4 oz,fresh lime juice,,,,,rim chilled cocktail glass with lime and salt. shake remaining ingredients and ice and strain into glass.,cocktail glass,6 or more ounces
lillypad,tequila,1 1/2 oz,blanco tequila,1/2 oz,each lillet blanc and lillet rouge,1 1/2 oz,apple juice,3/4 oz,fresh lime juice,1/4 oz,agave nectar,,blood orange wheel,shake with ice and strain into chilled cocktail glass. garnish with blood orange wheel.,cocktail glass,6 or more ounces
x. y. z. cocktail,cocktail classics,1 oz,lemon juice,1/2 oz,old mr. boston triple sec,1 oz,old mr. boston rum,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
la ultima palabra,tequila,3/4 oz,blanco tequila,3/4 oz,fresh grapefruit juice,3/4 oz,fresh lime juice,3/4 oz,yellow chartreuse,3/4 oz,maraschino liqueur,,grapefruit twist,shake with ice and strain into chilled cocktail glass. add grapefruit twist.,cocktail glass,6 or more ounces
la perla,tequila,1 1/2 oz,reposado tequila,1 1/2 oz,manzanilla sherry,3/4 oz,pear liqueur,,,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
bull's milk,brandy,1 1/2 oz,brandy,1 oz,light rum,1/4 oz,simple syrup,3 oz,milk,,"freshly grated nutmeg, ground cinnamon",,,shake with ice and strain into chilled collins glass. top with nutmeg and cinnamon.,collins glass,14 to 16 ounces
la bomba,tequila,,"lime wedge, superfine sugar",1 1/4 oz,gold tequila,3/4 oz,triple sec,1 1/2 oz,pineapple juice,1 1/2 oz,orange juice,2 oz,"grenadine, lime wheel",rim chilled cocktail glass with lime wedge and sugar. combine next four ingredients with ice and shake briefly. pour with ice into glass. add grenadine and garnish with lime wheel.,cocktail glass,6 or more ounces
jinx cocktail,tequila,1 oz,blanco tequila,3/4 oz,blood orange liqueur,3/4 oz,becherovka (czech digestif),1 oz,fresh grapefruit juice,,"grapefruit twist, flamed",,,shake with ice and strain into chilled cocktail glass. flame grapefruit twist and add.,cocktail glass,6 or more ounces
the interesting cocktail,tequila,2 oz,blanco tequila,1/2 oz,aperol,1/2 oz,dark creme de cacao,3/4 oz,fresh lemon juice,1 oz,grapefruit twist,,,shake with ice and strain into chilled cocktail glass. add grapefruit twist.,cocktail glass,6 or more ounces
hot pants,tequila,,"lime wedge, coarse salt",1 1/2 oz,blanco tequila,1/2 oz,peppermint schnapps,1/2 oz,grapefruit juice,2 oz,simple syrup,,,rim old-fashioned glass with lime and salt. fill with ice. shake remaining ingredients with ice. strain into glass.,old-fashioned glass,6 to 8 ounces
high plains drifter no. 1,tequila,1 oz,campari,2 oz,blanco tequila,3/4 oz,fresh lime juice,3/4 oz,honey syrup,1 oz,angostura bitters,,,swirl campari in chilled cocktail glass to coat inside; discard excess campari. shake remaining ingredients with ice and strain into glass.,cocktail glass,6 or more ounces
hairy sunrise,tequila,3/4 oz,blanco tequila,3/4 oz,vodka,1/2 oz,triple sec,3 oz,orange juice,1 oz,fresh grenadine,,lime wedge,shake first four ingredients with ice. strain into ice-filled collins glass. float grenadine on top. garnish with lime.,collins glass,14 to 16 ounces
guadalajara,tequila,2 oz,blanco tequila,1 oz,dry vermouth,1/2 oz,benedictine,,,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
frostbite,tequila,1 oz,blanco tequila,3/4 oz,white creme de cacao,3/4 oz,heavy cream,,,,,,,shake with ice and strain into chilled cocktail glass. top with nutmeg.,cocktail glass,6 or more ounces
flower power,tequila,2 oz,blanco tequila,1 oz,grapefruit juice,1/2 oz,agave nectar,1 oz,egg white,3 oz,orange blossom water,2 oz,peychaud's bitters,shake without ice. then shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
cablegram highball,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,old thompson blended whiskey,,,,,,,stir with ice cubes in highball glass and fill with ginger ale.,highball glass,7 to 10 ounces
cabaret cocktail,cocktail classics,1 1/2 oz,old mr. boston dry gin,2 oz,bitters,1/2 oz,dry vermouth,1/4 oz,benedictine,,,,,stir with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6 or more ounces
bulla's eye,brandy,1 oz,brandy,2 oz,hard cider,,ginger ale,,,,,,,"stir brandy and hard cider in highball glass. add ice, fill with ginger ale, and stir again.",highball glass,7 to 10 ounces
el oso (the bear),tequila,1  3/4 oz,anejo tequila,3/4 oz,honey liqueur,1/2 oz,maraschino liqueur,2 oz,the bitter truth's jerry thomas' own decanter bitters,,dehydrated orange wheel,,,stir with ice. drop dehydrated orange wheel into old-fashioned glass and add ice. strain cocktail into glass.,cocktail glass,6 or more ounces
el ni_o,tequila,6,lime wedges,1 oz,whole strawberry,3/4 oz,simple syrup,2 oz,blanco tequila,5 oz,rose water,,,"muddle lime, strawberry, and syrup in mixing glass. add tequila and rose water and ice. shake briefly and strain into ice-filled oldfashioned glass.",old-fashioned glass,6 to 8 ounces
el molino,tequila,1 1/2 oz,mezcal,3/4 oz,palo cortado or oloroso sherry,1/4 oz,allspice liqueur (pimento dram),1/4 oz,white creme de cacao,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
bucks fizz,cocktail classics,2 oz,orange juice,,champagne,,,,,,,,,"pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with champagne, and stir very gently.",collins glass,14 to 16 ounces
dirty daisy,tequila,1 1/2 oz,reposado tequila,1 oz,white curacao,1/2 oz,olive brine,1 oz,balsamic vinegar,1 oz,fresh lime juice,,,shake well with ice and strain into chilled cocktail glass. garnish with lime wheel.,cocktail glass,6 or more ounces
diablo,tequila,1 1/2 oz,blanco tequila,3/4 oz,creme de cassis,1/2 oz,fresh lime juice,,,,lime wheel,,,shake first three ingredients with ice. strain into ice-filled collins glass. top with ginger ale. garnish with lime.,collins glass,14 to 16 ounces
count camillo's paloma,tequila,3/4 oz,blanco tequila,3/4 oz,sweet vermouth,3/4 oz,campari,2 oz,grapefruit soda,,rosemary sprig,,,pour ingredients into collins glass and stir briefly. fill with ice. garnish with rosemary.,collins glass,14 to 16 ounces
company b,tequila,1 oz,"whole strawberry, hulled",1 1/2 oz,blanco tequila,1/2 oz,campari,1/2 oz,triple sec,1/2 oz,fresh lemon juice,1/4 oz,"agave nectar, strawberry slice",muddle whole strawberry in mixing glass. add remaining ingredients. shake with ice and strain through fine wire sieve into chilled cocktail glass. garnish with strawberry slice.,cocktail glass,6 or more ounces
chupa cabra,tequila,2 oz,blanco tequila,3/4 oz,fresh grapefruit juice,1/2 oz,fresh lime juice,1/2 oz,campari,1/2 oz,simple syrup,1 oz,"angostura bitters, lime wheel",shake with ice and strain into chilled cocktail glass. garnish with lime.,cocktail glass,6 or more ounces
chinchona,tequila,1 1/2 oz,anejo tequila,3/4 oz,lillet rouge,1/2 oz,orange curacao,2 oz,orange bitters,,orange twist,,,stir with ice and strain into chilled cocktail glass. add orange twist.,cocktail glass,6 or more ounces
chapala,tequila,1 1/2 oz,reposado tequila,1 1/2 oz,orange juice,3/4 oz,fresh lemon juice,1/4 oz,grenadine,,orange blossoms (optional): orange wedge,,,"shake and strain into hurricane glass. fill glass with crushed ice. garnish with orange blossoms, if using, and orange wedge.",hurricane glass,14 to 20 ounces
